"Ticker","Exchange","Price","Change","Volume","Average Volume","Relative Volume","Performance (Week)","Performance (Month)","Performance (Quarter)","Performance (Half Year)","Performance (YTD)","Performance (Year)","Sector/Theme","Net Flows % (1 Month)","Net Flows % (3 Month)","Net Flows % (YTD)","Net Flows % (1 Year)"
"COPX","NYSE",77.29,-1.82%,1135110,3774.80,0.33,5.81%,-10.10%,-10.58%,-3.48%,7.65%,74.30%,"Materials",-0.77,3.61,48.24,104.98
"IAI","NYSE",196.00,1.31%,46802,106.59,0.48,5.21%,6.37%,11.59%,4.54%,9.27%,15.00%,"Financials",-3.21,-15.21,-15.67,-8.99
"MAGS","CBOE",68.81,2.03%,5974570,4098.19,1.59,4.59%,6.01%,8.17%,3.81%,4.32%,21.83%,"Technology",7.25,-4.66,-2.86,37.68
"COAL","NYSE",23.69,0.36%,51782,82.81,0.68,4.52%,-10.18%,-7.73%,-7.91%,3.88%,23.60%,"Energy",-7.70,-45.32,165.57,265.75
"EWZ","NYSE",35.96,-0.21%,12849788,24961.01,0.56,4.49%,2.44%,-13.84%,9.19%,13.17%,31.33%,,-5.79,-2.81,24.89,38.80
"IBUY","NYSE",72.36,2.15%,2643,12.77,0.23,3.93%,8.75%,8.98%,-5.97%,-2.78%,4.35%,"Consumer Discretionary",-11.28,-11.28,-19.45,-28.79
"XRT","NYSE",89.18,1.60%,3944051,5219.68,0.83,3.70%,1.66%,6.64%,-0.77%,4.57%,12.81%,"Consumer Discretionary",24.59,-4.43,-23.55,24.58
"KRE","NYSE",75.96,1.28%,10670384,14391.33,0.81,3.57%,3.47%,9.63%,13.92%,17.20%,23.77%,"Financials",9.65,4.57,7.81,17.77
"BOAT","NYSE",41.83,0.03%,10158,23.23,0.48,2.75%,-1.46%,2.17%,23.88%,32.53%,42.10%,"Industrials",0.00,-11.21,27.23,31.09
"XHB","NYSE",108.86,0.65%,1313014,2658.66,0.54,2.66%,1.19%,2.92%,-4.19%,5.74%,8.43%,"Consumer Discretionary",15.54,19.09,9.70,19.92
"TAN","NYSE",55.54,0.74%,649835,1491.80,0.48,2.58%,-11.89%,0.55%,6.51%,13.06%,44.93%,"Green Investing",-6.50,8.54,46.36,63.23
"KWEB","NYSE",26.99,3.09%,22280562,26008.55,0.94,2.20%,1.89%,-8.10%,-28.33%,-20.73%,-24.27%,"Technology",-9.73,-6.68,-13.93,20.66
"XOP","NYSE",164.78,-0.65%,1589698,3775.47,0.46,1.72%,-0.34%,0.83%,29.20%,30.51%,27.90%,"Energy",4.02,3.37,45.35,44.55
"BETZ","NYSE",19.63,1.21%,10293,40.48,0.28,1.68%,-2.51%,4.96%,-3.18%,-6.41%,-18.10%,"Consumer Discretionary",2.38,-3.97,-12.46,-27.93
"SIL","NYSE",75.17,-0.48%,540463,1595.98,0.37,1.55%,-7.97%,-24.67%,-20.03%,-10.00%,51.28%,"Materials",-0.37,-6.12,-9.93,23.29
"IGV","CBOE",93.90,0.29%,7428881,20608.41,0.39,1.54%,3.53%,18.15%,-10.86%,-11.15%,-13.84%,"Technology",-4.59,13.03,81.37,21.95
"CIBR","NASD",92.97,-1.85%,1666785,1633.39,1.12,1.43%,8.96%,48.07%,27.43%,30.13%,27.15%,"Technology",2.25,2.78,3.50,12.49
"RING","NASD",63.90,-0.61%,96603,537.51,0.20,1.04%,-8.14%,-26.69%,-22.39%,-13.23%,46.86%,"Materials",2.72,-15.05,-12.24,3.71
"OIH","NYSE",381.65,-0.98%,158214,393.43,0.44,1.01%,-10.86%,-5.25%,21.80%,34.02%,61.16%,"Energy",-8.19,-2.37,8.42,17.66
"PAVE","CBOE",56.55,-0.28%,976825,1895.72,0.56,0.92%,-2.09%,2.82%,12.03%,18.34%,27.14%,"Infrastructure",2.74,7.64,17.82,23.18
"INDA","CBOE",48.74,0.01%,4860650,6326.86,0.84,0.17%,0.84%,-1.94%,-8.74%,-9.83%,-11.19%,,0.00,9.56,-20.78,-24.31
"BOTZ","NASD",35.97,0.24%,502643,1000.74,0.55,-0.07%,-3.11%,-1.71%,-6.44%,-0.73%,11.24%,"Robotics & Automation",0.22,3.48,7.44,12.63
"ICLN","NASD",19.00,-0.37%,3179155,6175.23,0.56,-0.26%,-9.18%,-3.70%,8.20%,15.64%,40.74%,"Green Investing",-8.26,16.07,19.42,27.62
"BLOK","NYSE",61.60,0.56%,121214,342.43,0.39,-0.96%,-3.81%,6.74%,-1.11%,8.28%,5.34%,"Fintech",-8.65,-1.58,-4.26,-3.00
"ARKK","CBOE",79.38,-0.18%,3469461,7557.05,0.50,-0.97%,4.93%,6.08%,-3.83%,3.20%,9.35%,"Innovation / Patent Based",-9.14,-0.44,-4.38,-12.44
"SMH","NASD",585.54,-2.46%,9101613,10628.00,0.94,-1.26%,-5.55%,29.55%,49.89%,62.59%,101.36%,"Technology",2.71,4.15,11.80,16.52
"ITA","CBOE",235.80,0.23%,391007,853.72,0.50,-1.60%,0.86%,0.16%,-0.32%,9.83%,22.04%,"Industrials",0.76,-2.82,-0.41,27.50
"IGPT","NYSE",93.78,-2.69%,75630,187.05,0.44,-1.86%,-3.58%,37.09%,49.76%,57.69%,89.07%,"Robotics & Automation",10.46,20.48,22.42,29.83
"JETS","NYSE",31.18,1.07%,1703844,3705.42,0.50,-1.92%,5.59%,15.70%,6.60%,11.08%,25.88%,"Industrials",-12.83,-20.51,-5.03,-23.76
"KIE","NYSE",62.20,-2.02%,1953695,1284.71,1.66,-2.17%,6.43%,9.51%,4.14%,3.41%,10.07%,"Financials",15.72,18.46,-1.75,-31.51
"URA","NYSE",40.75,-1.93%,2549589,3862.04,0.72,-2.19%,-10.48%,-22.88%,-21.27%,-4.63%,4.01%,"Materials",-0.23,0.99,16.74,49.29
"CNBS","NYSE",26.55,-2.83%,1008,12.92,0.09,-2.59%,-9.06%,13.92%,-12.59%,-6.43%,62.00%,"Cannabis Based Businesses",-4.90,-13.53,-21.69,-20.32
"IHI","NYSE",49.84,1.26%,1731567,2812.61,0.67,-2.77%,0.34%,-8.30%,-21.13%,-19.81%,-17.97%,"Healthcare",-2.10,1.72,-7.92,-18.71
"WISE","NASD",35.59,-2.27%,9371,11.19,0.92,-2.97%,-10.51%,-1.55%,-14.49%,-8.65%,-4.03%,"Robotics & Automation",-9.21,-16.54,-16.54,-4.41
"IPO","NYSE",54.48,-1.73%,21000,40.72,0.56,-3.56%,-2.23%,15.01%,12.52%,19.34%,23.12%,,0.06,3.86,1.17,-5.20
"XBI","NYSE",155.98,0.34%,4351390,8923.56,0.53,-4.29%,16.59%,14.93%,25.86%,27.93%,81.56%,"Healthcare",10.78,6.00,6.48,14.42
"UFO","NASD",45.21,-1.20%,499115,1373.72,0.40,-5.16%,-14.57%,-12.50%,0.29%,16.97%,50.10%,"Space Exploration & Technology",-27.77,93.34,624.26,2430.71
"BOIL","NYSE",22.58,1.10%,3170877,4082.04,0.85,-15.67%,-15.64%,-14.62%,-37.29%,-50.71%,-76.25%,,38.91,1.41,-34.20,41.58
