"Ticker","Exchange","Company","Sector","Industry","Market Cap","Price","Change","Volume","Average Volume","Relative Volume","Performance (Week)","Performance (Month)","Performance (Quarter)","Performance (Half Year)","Performance (YTD)","Performance (Year)","Volatility (Week)","EPS Growth This Year","EPS Growth Quarter Over Quarter","Sales Growth Quarter Over Quarter","EPS Growth Next 5 Years","Institutional Transactions","Institutional Ownership","Short Float"
"ASAN","NYSE","Asana Inc","Technology","Software - Application",1743.80,7.57,1.41%,3394125,6585.17,0.52,6.85%,2.37%,37.80%,-41.63%,-44.82%,-44.78%,7.67%,38.07%,64.50%,9.52%,28.76%,25.14%,44.88%,38.09%
"CRML","NASD","Critical Metals Corp","Basic Materials","Other Industrial Metals & Mining",1098.73,7.48,-5.67%,3405031,11454.06,0.30,-11.48%,-24.44%,-14.90%,-49.32%,7.78%,87.47%,6.65%,-140.74%,-493.10%,,,3.22%,15.61%,31.52%
"CSIQ","NASD","Canadian Solar Inc","Technology","Solar",1070.73,15.77,3.82%,2026410,3033.09,0.67,6.92%,-5.74%,17.86%,-22.12%,-33.66%,22.25%,5.40%,65.79%,6.72%,-9.92%,,17.23%,50.75%,34.07%
"GEMI","NASD","Gemini Space Station Inc","Financial","Capital Markets",557.09,4.67,7.60%,1110189,2020.46,0.55,10.66%,-0.64%,-8.43%,-55.48%,-52.92%,,4.66%,58.56%,26.67%,630.01%,33.12%,-1.96%,8.90%,31.73%
"GRPN","NASD","Groupon Inc","Communication Services","Internet Content & Information",984.54,25.92,1.25%,537127,2097.05,0.26,1.53%,52.38%,105.88%,60.89%,47.19%,-20.85%,9.08%,93.59%,-284.42%,0.01%,,-3.36%,69.19%,59.61%
"METC","NASD","Ramaco Resources Inc","Basic Materials","Coking Coal",776.53,12.81,-1.42%,897915,1508.89,0.60,4.70%,-16.09%,-3.21%,-41.93%,-28.86%,-41.64%,5.32%,24.24%,-55.83%,-9.69%,,-4.03%,62.87%,30.58%
"MRLN","NASD","Merlin Inc","Industrials","Aerospace & Defense",374.52,3.88,-6.95%,1540943,2575.36,0.60,-9.56%,-43.02%,-64.31%,-64.07%,-63.81%,-62.44%,8.80%,-173.33%,-1849.10%,,-22.46%,29.28%,5.82%,64.59%
"NTST","NYSE","Netstreit Corp","Real Estate","REIT - Retail",2077.89,21.27,-0.58%,603554,1914.81,0.32,-2.77%,4.44%,6.38%,24.12%,20.61%,22.13%,1.74%,292.04%,176.81%,24.22%,69.88%,30.32%,140.43%,34.59%
"PLAY","NASD","Dave & Buster's Entertainment Inc","Communication Services","Entertainment",359.54,10.34,8.33%,1487641,1849.97,0.81,1.92%,-20.07%,-23.73%,-41.61%,-36.24%,-66.03%,7.35%,39.91%,-73.55%,-1.50%,15.32%,-8.67%,109.99%,34.18%
"SEI","NYSE","Solaris Energy Infrastructure Inc","Energy","Oil & Gas Equipment & Services",4923.27,66.94,-3.68%,2743748,2511.95,1.10,1.02%,-9.55%,2.94%,30.42%,45.63%,120.29%,5.17%,101.13%,106.00%,55.34%,99.70%,-4.14%,109.21%,30.41%
"SERV","NASD","Serve Robotics Inc","Industrials","Specialty Industrial Machinery",445.28,5.76,-1.12%,2034481,4692.37,0.44,-2.29%,-17.43%,-35.70%,-59.87%,-44.56%,-45.91%,4.42%,-63.91%,-177.29%,577.47%,-6.20%,6.39%,41.50%,31.03%
"UPST","NASD","Upstart Holdings Inc","Financial","Credit Services",3024.96,31.60,-0.36%,2111713,4723.67,0.45,-0.64%,3.62%,7.03%,-30.15%,-27.73%,-57.37%,5.95%,-45.21%,-163.85%,44.45%,24.86%,-9.08%,60.72%,31.54%
"VELO","NASD","Velo3D Inc","Technology","Computer Hardware",333.92,11.20,-12.39%,3047313,3826.77,0.80,-18.51%,-56.06%,2.80%,-49.28%,-18.45%,49.40%,8.13%,78.68%,85.25%,48.24%,58.48%,3.80%,24.96%,36.15%
"WOLF","NYSE","Wolfspeed Inc","Technology","Semiconductors",1815.38,34.93,1.81%,3335590,7613.74,0.44,-2.59%,-19.03%,51.87%,89.63%,100.63%,-81.18%,8.37%,-272.59%,-64.54%,-18.99%,,14.37%,86.95%,71.75%
"WYFI","NASD","Whitefiber Inc","Technology","Information Technology Services",1129.47,29.25,-6.04%,3622054,2168.20,1.68,-20.39%,18.42%,81.79%,56.58%,85.13%,,16.43%,-4.08%,-933.33%,46.00%,,-2.31%,21.29%,42.45%
